,question,answer a,answer b,answer c,answer d,book
44,Как звали жену Тараса Бульбы?,Елена,Марфа,Пульхерия,Имя не упоминается,Тарас Бульба
45,Что потерял Иван Никифорович во время ссоры с Иваном Ивановичем?,Шляпу,Крючок,Перчатку,Ружье,Как поссорился Иван Иванович с Иваном Никифоровичем
46,Какое событие из биографии Толстого послужило основой «Декабристов»?,Его участие в Крымской войне,Его знакомство с ранеными офицерами,Его интерес к восставшим офицерам 1825 года,Его преподавательская деятельность в деревне,Декабристы
47,"Как называется литературное объединение, председателем которого был Берлиоз в «Мастере и Маргарите»?",Литсоюз,ПЭН-клуб,МАССОЛИТ,Союз писателей Москвы,Мастер и Маргарита
48,Как Наполеон оправдывал свои действия перед началом войны с Россией?,Английскими интригами,Желанием защитить Европу от российского влияния,Собственной божественной миссией,Желанием объединить континент,Война и мир
49,Каково отношение Тургенева к крестьянам в «Записках охотника»?,Презрение и насмешка,Симпатия и уважение,Полный нейтралитет,Осуждение пассивности,Записки охотника
50,"Что обнаружила Ирия в каюте Тадеуша на корабле «Днепр», что свидетельствовало о беспорядке?",Новые фотографии,Обрывки фотографии и куртка Тадеуша,Найденные новые игрушки,Секретную карту галактики,Город без памяти
51,Какой совет дает Воланд Берлиозу?,Вы умрете другой смертью,Берегитесь Аннушки,Не доверяйте Бездомному,Не верьте иностранцам,Мастер и Маргарита
52,Какая надпись появилась на экране после активации устройства?,«Ошибка подключения»,«Добро пожаловать»,«Переброска завершена. Промежуточная станция»,«Начало путешествия»,Сто лет тому вперёд
53,Что увидел Берлиоз перед своей смертью в «Мастере и Маргарите»?,Женщину с кувшином масла,Красную луну,Воланда,Демон,Мастер и Маргарита
54,"Согласно надписям, куда перенёс прибор Коли?",В прошлое,В альтернативную реальность,"В будущее – 11 апреля 2082 года, воскресенье",На другую планету,Сто лет тому вперёд
55,Как в «Войне и мире» описывается реакция простых солдат на отступление?,Полная покорность и страх,Мятеж и неповиновение командирам,"Патриотический подъём, перемежающийся с сомнениями",Желание заключить мир любой ценой,Война и мир
56,"Какое растение внезапно выросло на раскопках, по сюжету?",Дерево с красными плодами,Дерево с желтыми цветочками,Куст с голубыми цветами,Высокая трава с шипами,Лиловый шар
57,Какой страх испытывал Берлиоз перед появлением Воланда?,Боязнь смерти,Боязнь темноты,Боязнь разоблачения,Боязнь встречи с чиновниками,Мастер и Маргарита
58,Как Лермонтов в «Княгине Лиговской» обозначает тему столкновения мечты и реальности?,Главный герой постоянно живёт во сне,Героиня вынуждена отказаться от богатства,Взаимная любовь оказывается недостижимой,Происходит восстание крепостных,Княгиня Лиговская
59,Какую ошибку совершил директор совхоза Рокк в «Роковых яйцах»?,"Создал луч, ускоряющий рост животных",Открыл новый вид бактерий,Провел опасный эксперимент на людях,Заказал яйца пресмыкающихся вместо куриных,Роковые яйца
60,Каков образ главной героини в повести «Ася»?,Злой и завистливый,Меланхоличный и безынициативный,Тайно страстный и ранимый,Резко враждебный к окружающим,Ася
61,Почему в «Деле Артамоновых» семья распадается?,Из-за войны,Из-за внешнего давления государства,Из-за внутренних противоречий и смены эпох,Из-за действий конкурентов,Дело Артамоновых
62,В «Декабристах» Толстого показано общественное настроение России в период царствования:,Николая I,Александра I,Александра II,Павла I,Декабристы
63,Почему в «Приключениях покойника» герой не может получить билет на поезд?,Он не отработал положенное количество месяцев,У него нет денег,Он не прошел медицинское освидетельствование,Поезда не ходили из-за эпидемии,Приключения покойника
64,Какую кличку получил Плюшкин из-за своей жадности?,Скупец,Заплатанной,Крохобор,Бессердечный,Мертвые души
65,Как описывается деревенская жизнь в «Записках охотника»?,Радостная и беззаботная,Тоскливая и безнадёжная,Многогранная и полная человеческого достоинства,Полная роскоши и веселья,Записки охотника
66,В «Войне и мире» Анна Павловна Шерер играет роль:,Простодушной провинциалки,"Фрейлины, устраивающей светские приёмы",Нищей родственницы императрицы,Заводчицы сплетен при дворе,Война и мир
67,Какой год упоминается в «Звездной сыпи»?,1917,1920,1935,1899,Звездная сыпь
68,Чем отличается проза Горького в «Деле Артамоновых» от творчества предыдущих реалистов?,Акцентом на романтические мотивы,Жесткостью в изображении социальных конфликтов,Полным отсутствием диалогов,Сентиментальным подходом,Дело Артамоновых
69,Главная конфликтная линия в «Княгине Лиговской» связана с:,Политическим заговором,Любовной драмой и социальными различиями,Военными действиями на Кавказе,Спорами о литературных вкусах,Княгиня Лиговская
70,Что произошло при первом запуске переключателя «Пуск» в кабинете?,Появилась ошибка системы,Кабина начала дрожать и изменилась обстановка,Сигнал тревоги раздался громко,Приборная панель погасла,Сто лет тому вперёд
71,"Какой предмет старик использовал, чтобы продемонстрировать технологическую новинку?",Смартфон,"Портсигар, превращавшийся в разноцветный экран",Компас,Часы с голографическим дисплеем,Сто лет тому вперёд
72,Какое впечатление князь Василий производил на окружающих в начале «Войны и мира»?,Харизматичный и энергичный,Ленивый и равнодушный,Честный и благородный,"Умный, но нерешительный",Война и мир
73,Кто из героев экспедиции в начале рассказа надет в скафандр?,Профессор Селезнев,Алиса,Громозека,Робот‐копатель,Лиловый шар
74,Какой диагноз ставит себе главный герой «Морфия»?,Наркомания,Гастрит,Психоз,Алкогольная зависимость,Морфий
75,В какую ловушку попал Громозека на раскопках?,"Провалился в яму, выкопанную за ночь",Застрял между каменными плитами,"Попал в западню, устроенную пауком",Упал с высоты с разрушенного купола,Лиловый шар
76,Какое событие заставило Ивана Ивановича и Ивана Никифоровича поссориться?,Продажа земли,Оскорбление словом,Судебное разбирательство,Кража вещи,Как поссорился Иван Иванович с Иваном Никифоровичем
77,Чему посвятила своё время Алиса после обеда у Ирии?,Изучению языка планеты Крина,Чтению новостей по телевизору,Играм на музыкальном инструменте,Управлению кораблём,Город без памяти
78,Какое животное играет важную роль в «Роковых яйцах»?,Змеи,Кузнечики,Гадюки,Лягушки,Роковые яйца
79,Какой важный философский вопрос затрагивается в «Войне и мире»?,Взаимосвязь судьбы и свободы воли,Столкновение мировых религий,Противостояние Востока и Запада,Борьба революции и монархии,Война и мир
80,Что для Горького символизирует семья Артамоновых?,Устойчивость патриархального уклада,Разложение крестьянской морали,Процесс формирования промышленного капитала,Власть самодержавия,Дело Артамоновых
81,К чему отсылает упоминание «Тайны Марии Целесты» в разговоре героев?,К разгадке исчезновения экипажа,К поиску древних сокровищ,К восстановлению старинного корабля,К юмористической истории из прошлого,Город без памяти
82,"Какова главная причина столкновения Наполеона и Александра, по Толстому?",Личные обиды,Давление со стороны союзников,Стечение исторических обстоятельств,Желание расширения личной славы,Война и мир
83,Какой ключевой мотив в «Асе» Тургенева?,Семейная месть,Революционная борьба,Разочарование и упущенная любовь,Проблема совести и долга,Ася
84,"Что использовал Хома Брут, чтобы защититься от Вия?",Святую воду,Круг из мела,Крест,Икону,Вий
85,Какой возраст указан у профессора Персикова в начале «Роковых яиц»?,58,45,62,50,Роковые яйца
86,Почему Анна Николаевна в «Крещении поворотом» вызвала врача ночью?,У ребенка началась лихорадка,У женщины начались роды,Пациент с туберкулезом стал задыхаться,В деревне произошла вспышка дизентерии,Крещении поворотом
87,Как герой «Морфия» впервые попробовал наркотик?,Для облегчения боли,Из любопытства,По совету коллеги,В результате эксперимента,Морфий
88,Что объединяет героев рассказов в «Записках охотника»?,Все они принадлежат к высшему свету,Их судьбы тесно переплетены с крепостным бытом,Они проживают в крупных городах,Они близки к двору императора,Записки охотника
89,Какое блюдо особенно любили старосветские помещики?,Блины,Вареники,Гречневая каша,Жареный поросенок,Старосветских помещиках
90,Какой элемент стиля отличает «Княгиню Лиговскую» Лермонтова?,Обилие философских отступлений,Многочисленные пейзажные зарисовки Кавказа,Психологический анализ любовных переживаний,Полное отсутствие лирических отступлений,Княгиня Лиговская
91,Как пациент в «Звездной сыпи» реагирует на диагноз сифилиса?,Недоверие,Радость,Спокойствие,Ирония,Звездная сыпь
92,Какое устройство обнаружил Коля в шкафу с приборами?,Старинный граммофон,Радиоприёмник,Приборную панель с переключателями,Механические часы,Сто лет тому вперёд
93,Какой персонаж первым заподозрил Чичикова в обмане?,Губернатор,Ноздрев,Собакевич,Плюшкин,Мертвые души
94,Какой смысл вкладывается в название «Декабристы» у Толстого?,Прямая отсылка к декабрьским народным приметам,Ссылка на фактическое восстание и судьбы участников,Отождествление героев с мифическими персонажами зимы,"Никакой, название условное",Декабристы
95,Как герой «Крещения поворотом» справляется с волнением?,Повторяет знания,Бегает по комнате,Молится,Плачет,Крещении поворотом
96,В чём особенность композиции «Записок охотника»?,Строгая сюжетная линия с одним героем,Набор не связанных между собой стихотворений,Цикл очерков с разными героями и сюжетами,Полный пересказ народных легенд,Записки охотника
97,Как в «Записках охотника» трактуется проблема крепостного права?,Как источник национальной гордости,Как неизбежная социальная система,Как тяжёлое бремя для народа,Как благо для помещиков,Записки охотника
98,Каково главное противоречие в образе Наполеона у Толстого?,Он слишком добр к врагам,Он признаёт свою вину в войне,Он является одновременно великим и ничтожным,Он тайно помогает русским,Война и мир
99,"Какое слово герой «Полотенца с петухом» вспоминает, ощущая слабость в руках?",Парализис,Инсульт,Анкилоз,Невропатия,Полотенце с Петухом
